,date,juliandate,NMraw,mag3,mag4,mag5,mag9,mag10,mag17,mag19,mag20,merr1,offset,std,NMcal
0,31130,2452974.79536,22.085,18.785,19.297,21.065,18.998,,20.334,19.3,20.244,0.04,3.466142857142857,0.044065967864149506,18.618857142857145
1,31201,2452975.78745,22.128,18.77,19.276,21.159000000000002,18.98,,20.323,19.28,20.276,0.04,3.4720000000000004,0.007234178137777785,18.656
2,31206,2452980.79214,22.651,18.793,19.299,21.221,19.011,,20.328,19.317999999999998,20.299,0.078,3.501285714285713,0.01554256827465293,19.149714285714285
3,31207,2452981.82716,22.144000000000002,18.85,19.359,21.271,19.057000000000002,18.211,20.401,19.333,20.329,0.066,3.5476249999999996,0.01881441316812028,18.596375000000002
4,31208,2452982.8413,22.366,18.839000000000002,19.345,21.272,19.059,,20.354,19.369,20.36,0.08800000000000001,3.548285714285714,0.02216389169880174,18.817714285714285
5,31210,2452984.78032,22.125,18.795,19.296,21.215,19.01,,20.313,19.311,20.279,0.047,3.4941428571428568,0.017305380391003294,18.630857142857142
6,31212,2452986.79446,22.252,18.797,19.307000000000002,21.203000000000003,19.009,,20.362000000000002,19.308,20.301,0.053,3.503857142857143,0.011349428347403778,18.748142857142856
7,31213,2452987.7899,22.434,18.823,19.337,21.234,19.035,18.189,20.386,19.337,20.33,0.062,3.5301249999999995,0.0116181815641436,18.903875000000003
8,31214,2452988.7823900003,22.135,18.804000000000002,19.309,21.189,19.021,,20.339000000000002,19.311,20.316,0.040999999999999995,3.5041428571428574,0.007925245977670832,18.630857142857145
9,31215,2452989.8118,22.158,18.781,19.281,21.156999999999996,19.000999999999998,18.153,20.355,19.303,20.291,0.05,3.4864999999999986,0.014918827989080553,18.6715
10,31216,2452990.81043,22.22,18.811,19.329,21.203000000000003,19.043,18.197,20.363,19.337,20.335,0.048,3.5235,0.0113010745380529,18.6965
11,31217,2452991.81324,22.199,18.845,19.336,21.217,19.062,18.212,20.385,19.359,20.340999999999998,0.043,3.540874999999999,0.008096516005887646,18.658125000000002
12,31218,2452992.82228,22.025,18.820999999999998,19.285999999999998,21.241,19.03,,20.352999999999998,19.336,20.33,0.036000000000000004,3.5195714285714272,0.01992366384354756,18.50542857142857
13,31219,2452993.83472,22.254,18.896,19.392,21.302,19.094,18.255,20.422,19.407,20.392,0.045,3.5912499999999996,0.009779716618745488,18.662750000000003
14,31220,2452994.80357,22.205,18.824,19.331,21.215,19.035999999999998,,20.345,19.335,20.327,0.037000000000000005,3.521857142857143,0.009063269671508101,18.683142857142855
15,31221,2452995.81289,22.055,18.858,19.367,21.263,19.059,18.218,20.378,19.368,20.361,0.037000000000000005,3.55525,0.011560400388588268,18.49975
16,31222,2452996.79777,22.326999999999998,18.842,19.345,21.261999999999997,19.055999999999997,,20.374000000000002,19.366,20.355999999999998,0.059000000000000004,3.5487142857142837,0.013936932777336476,18.778285714285715
17,31223,2452997.83103,21.974,18.81,19.316,21.229,19.028,18.177,20.367,19.337,20.299,0.036000000000000004,3.516624999999999,0.014131398677084793,18.457375000000003
18,31224,2452998.81241,22.225,18.798,19.296,21.247,19.008,,20.326,19.315,20.312,0.042,3.5059999999999993,0.024241837114178325,18.719
19,31225,2452999.8160200003,22.199,18.8,19.303,21.169,19.011,,20.331,19.315,20.308,0.037000000000000005,3.496714285714286,0.01037166469627095,18.702285714285715
20,31226,2453000.8286,22.072,18.788,19.293,21.186999999999998,19.004,,20.331,19.291,20.3,0.035,3.490571428571428,0.008141603913406672,18.58142857142857
21,31228,2453002.82785,22.259,,19.302,21.177,19.014,,20.354,19.302,20.311,0.043,3.5016666666666656,0.010519822558664807,18.757333333333335
22,31229,2453003.81717,22.139,18.809,19.302,21.160999999999998,19.014,,20.361,19.307000000000002,20.284000000000002,0.036000000000000004,3.496857142857143,0.01580536376703027,18.642142857142858
23,31230,2453004.82075,22.378,18.92,19.418,21.313000000000002,19.13,,20.463,19.42,20.423,0.048,3.618142857142857,0.005871642911153859,18.759857142857143
24,40102,2453007.82772,21.935,18.849,19.344,21.258000000000003,19.052,18.206,20.395,19.363,20.352,0.037000000000000005,3.5486249999999995,0.010446291208013138,18.386375
25,40104,2453009.8218900003,22.194000000000003,18.847,19.348,21.237,19.059,18.215,20.42,19.367,20.363,0.047,3.55325,0.013317550182297648,18.640750000000004
26,40108,2453013.82769,21.964000000000002,,19.271,21.159000000000002,18.982,,20.272000000000002,19.29,20.279,0.039,3.467166666666667,0.01779232044074248,18.496833333333335
27,40109,2453014.8582599997,22.258000000000003,18.84,19.344,21.236,19.042,,20.392,19.352999999999998,20.348,0.057999999999999996,3.542142857142857,0.008173709305492795,18.715857142857146
28,40110,2453015.82072,22.1,18.758,19.264,21.144000000000002,18.965,,20.297,19.26,20.259,0.042,3.4552857142857145,0.005407226205273094,18.644714285714286
29,40111,2453016.82931,22.16,18.768,19.262999999999998,21.16,18.974,,20.315,19.27,20.241,0.045,3.4615714285714283,0.010783585409412317,18.698428571428572
30,40112,2453017.7773,22.235,18.755,19.264,21.145,18.948,,20.301,19.26,20.195,0.045,3.443999999999999,0.02339515619379941,18.791
31,40113,2453018.78247,22.019000000000002,18.826,19.329,21.229,19.035999999999998,18.19,20.387,19.331,20.323,0.036000000000000004,3.527624999999999,0.010473606283255959,18.491375
32,40116,2453021.7974900003,22.142,18.917,19.428,21.301,19.128,18.295,20.502,19.448,20.436,0.048,3.6281249999999994,0.01756162618582571,18.513875
33,40118,2453023.7631099997,21.951999999999998,18.778,19.276,21.174,18.989,,20.313,19.29,20.236,0.035,3.4708571428571418,0.01621140104404485,18.481142857142856
34,40119,2453024.78884,22.044,18.781,19.275,21.188000000000002,18.996,,20.317999999999998,19.302,20.293,0.036000000000000004,3.484714285714284,0.01022601723911663,18.559285714285718
35,40121,2453026.7088,22.135,18.78,19.282,21.218000000000004,18.994,,20.313,19.305999999999997,20.248,0.037000000000000005,3.483,0.02479919353519903,18.652
36,40123,2453028.7344,22.092,18.804000000000002,19.315,21.219,19.024,,20.305999999999997,19.33,20.331,0.033,3.5098571428571423,0.02285773808752733,18.582142857142856
37,40124,2453029.76947,22.185,18.812,19.32,21.179000000000002,19.02,,20.379,19.319000000000003,20.305999999999997,0.045,3.5107142857142857,0.015596092306710788,18.674285714285713
38,40125,2453030.78948,22.018,18.81,19.315,21.221,19.023,,20.351,19.325,20.315,0.03,3.5142857142857133,0.00910520520943397,18.503714285714288
39,40126,2453031.7532599997,22.088,18.776,19.285,21.182,18.987000000000002,,20.320999999999998,19.284000000000002,20.297,0.039,3.4817142857142858,0.010641338977705942,18.606285714285715
40,40127,2453032.7099200003,22.288,18.762,19.268,21.177,18.977,,20.317,19.282,20.273,0.046,3.4708571428571426,0.010668154657939806,18.81714285714286
41,40128,2453033.77337,22.128,18.762,19.264,21.156999999999996,18.980999999999998,,20.236,19.273,20.273,0.036000000000000004,3.455142857142856,0.026953222265105325,18.672857142857143
42,40130,2453035.77384,22.156999999999996,18.794,19.3,21.208000000000002,18.997,,20.329,19.314,20.317,0.043,3.4998571428571426,0.013993195625440798,18.657142857142855
43,40131,2453036.78263,22.093000000000004,18.785999999999998,19.292,21.186999999999998,18.995,,20.327,19.313,20.289,0.035,3.4898571428571428,0.008687703406219204,18.60314285714286
44,40201,2453037.74724,21.954,18.801,19.294,21.214000000000002,19.01,18.156,20.338,19.317999999999998,20.296,0.038,3.4996249999999995,0.01178300834748883,18.454375000000002
45,40202,2453038.71832,22.041,18.782,19.26,21.199,18.944000000000003,,20.323,19.295,20.258,0.044000000000000004,3.471571428571429,0.0239503454593315,18.56942857142857
46,40203,2453039.72769,22.173000000000002,18.805999999999997,19.311,21.2,19.02,,20.373,19.328,20.325,0.053,3.514714285714285,0.011968211864607167,18.658285714285718
47,40205,2453041.81652,22.594,18.829,19.325,21.221999999999998,19.028,18.188,20.387,19.317999999999998,20.348,0.094,3.526874999999999,0.01442653804612445,19.067125
48,40207,2453043.71783,22.565,18.902,19.395,21.28,19.109,18.261,20.445999999999998,19.404,20.423,0.1,3.598749999999999,0.01108087154922297,18.966250000000002
49,40208,2453044.75812,22.004,18.825,19.324,21.218000000000004,19.035,,20.352999999999998,19.334,20.346,0.046,3.5249999999999995,0.01077032961441699,18.479000000000003
50,40209,2453045.8039599997,22.215,18.855999999999998,19.371,21.226999999999997,19.072,18.222,20.42,19.372,20.348,0.059000000000000004,3.5572499999999994,0.014149709739505738,18.65775
51,40211,2453047.80998,22.02,18.774,19.274,21.142,18.988,18.137999999999998,20.301,19.282,20.243,0.040999999999999995,3.4639999999999995,0.011771636613771685,18.556
52,40214,2453050.7006,22.284000000000002,18.773,19.265,21.21,18.984,,20.319000000000003,19.297,20.282,0.046,3.481428571428572,0.019103726886482566,18.80257142857143
53,40216,2453052.7743900004,22.096999999999998,18.767,19.274,21.149,18.983,,20.298,19.291,20.273,0.036000000000000004,3.4678571428571425,0.009633769968657373,18.629142857142856
54,40219,2453055.6564,22.503,18.85,19.35,21.255,19.058,,20.398,19.361,20.349,0.055999999999999994,3.551571428571428,0.007934253648296913,18.951428571428572
55,40221,2453057.7708,22.27,18.824,19.332,21.197,19.037,,20.35,19.334,20.302,0.044000000000000004,3.516571428571428,0.0112228508390311,18.75342857142857
56,40222,2453058.67477,22.248,18.879,19.373,21.273000000000003,19.092,18.245,20.434,19.393,20.378,0.040999999999999995,3.5796250000000005,0.0077078346042157445,18.668375
57,40223,2453059.66769,22.284000000000002,18.846,19.343,21.221999999999998,19.041,,20.396,19.348,20.337,0.042,3.5389999999999993,0.008485281374133779,18.745000000000005
58,40224,2453060.67297,22.410999999999998,18.839000000000002,19.339000000000002,21.212,19.047,18.192,20.387999999999998,19.348,20.339000000000002,0.048,3.53425,0.009130013299980401,18.876749999999998
59,40225,2453061.64762,22.175,18.883,19.378,21.244,19.088,18.246,20.442,19.39,20.383,0.038,3.5779999999999994,0.013147514702757586,18.597
60,40226,2453062.69641,22.824,19.625,20.125,22.051,19.838,18.998,21.186,20.137999999999998,21.125999999999998,0.07400000000000001,4.332125,0.014436437035545481,18.491875
