,date,juliandate,NMraw,mag3,mag4,mag9,mag10,mag17,mag19,mag20,merr1,offset,std,NMcal
0,31130,2452974.8064900003,22.894000000000002,19.383,19.829,19.147000000000002,18.614,20.55,19.522000000000002,20.846999999999998,0.04,2.668857142857143,0.006568322247224881,20.22514285714286
1,31201,2452975.7985900003,22.93,19.366,19.82,19.127,18.604,20.531,19.504,20.791999999999998,0.040999999999999995,2.6477142857142852,0.020352839979687662,20.282285714285713
2,31206,2452980.80327,23.291,19.364,19.829,19.15,18.612000000000002,20.545,19.509,20.829,0.14400000000000002,2.6611428571428575,0.012772738827032492,20.629857142857144
3,31207,2452981.8382900003,22.743000000000002,19.418,19.871,19.174,18.66,20.566999999999997,19.567999999999998,20.885,0.10099999999999999,2.7047142857142847,0.010515294982614817,20.038285714285717
4,31208,2452982.85243,22.895,19.345,19.788,19.109,18.573,20.493000000000002,19.475,20.826999999999998,0.156,2.628571428571429,0.009198861213128432,20.26642857142857
5,31210,2452984.79145,22.849,19.375,19.834,19.133,18.602,20.539,19.509,20.854,0.09,2.6622857142857144,0.006775305299732292,20.186714285714285
6,31212,2452986.80559,22.756,19.375999999999998,19.822,19.113,18.611,20.537,19.512,20.855999999999998,0.073,2.659571428571428,0.007934253648073028,20.09642857142857
7,31213,2452987.8010299997,22.928,19.397000000000002,19.84,19.163,18.639,20.524,19.534000000000002,20.866,0.084,2.6790000000000007,0.01643167672513223,20.249
8,31214,2452988.7935200003,22.86,19.381,19.837,19.153,18.633,20.541,19.53,20.85,0.068,2.6735714285714285,0.009829498848877091,20.18642857142857
9,31215,2452989.82293,22.831999999999997,19.364,19.81,19.128,18.605,20.535,19.496,20.835,0.059000000000000004,2.6518571428571427,0.004947341758729244,20.180142857142854
10,31216,2452990.82156,22.976,19.373,19.843,19.157,18.634,20.575,19.535999999999998,20.859,0.059000000000000004,2.681,0.011090536506397028,20.294999999999998
11,31217,2452991.82437,23.028000000000002,19.417,19.872,19.182000000000002,18.662,20.595,19.553,20.879,0.057999999999999996,2.7071428571428577,0.008933617621649816,20.320857142857143
12,31218,2452992.83342,22.802,19.395,19.840999999999998,19.152,18.63,20.568,19.524,20.864,0.044000000000000004,2.6805714285714286,0.00522357294236013,20.12142857142857
13,31219,2452993.84585,22.783,19.463,19.917,19.223,18.703,20.651,19.593,20.941999999999997,0.067,2.754571428571428,0.008403514004166245,20.028428571428574
14,31220,2452994.81471,22.921999999999997,19.383,19.832,19.146,18.62,20.544,19.51,20.862,0.043,2.669571428571429,0.005593363414431447,20.252428571428567
15,40709,2453196.51478,22.605999999999998,19.448,19.887999999999998,19.189,18.679000000000002,20.586,19.572,20.963,0.031,2.7307142857142854,0.021116457134330482,19.875285714285713
16,40714,2453201.52661,23.340999999999998,20.123,20.585,19.88,19.365,21.308000000000003,20.262,21.66,0.061,3.4247142857142863,0.021100665753390254,19.91628571428571
17,40718,2453205.46931,22.684,19.607,20.035999999999998,19.362000000000002,18.837,20.778000000000002,19.727,21.066,0.038,2.886142857142857,0.009856107606050959,19.797857142857143
18,41122,2453332.8117,23.164,19.816,20.294,19.594,,21.009,19.96,21.296,0.063,3.1181666666666668,0.012367969383387852,20.045833333333334
19,41205,2453345.78258,22.772,19.632,20.118,19.415,,20.846,19.783,21.136999999999997,0.05,2.945166666666666,0.016042651484910915,19.826833333333333
20,41207,2453347.78026,22.87,19.659000000000002,20.102999999999998,19.407,,20.787,19.77,21.116999999999997,0.047,2.930499999999999,0.01559166443965234,19.939500000000002
