juliandate NMcal merr1
2452974.795 18.619 0.040
2452975.787 18.656 0.040
2452980.792 19.150 0.078
2452981.827 18.596 0.066
2452982.841 18.818 0.088
2452984.780 18.631 0.047
2452986.794 18.748 0.053
2452987.790 18.904 0.062
2452988.782 18.631 0.041
2452989.812 18.672 0.050
2452990.810 18.697 0.048
2452991.813 18.658 0.043
2452992.822 18.505 0.036
2452993.835 18.663 0.045
2452994.804 18.683 0.037
2452995.813 18.500 0.037
2452996.798 18.778 0.059
2452997.831 18.457 0.036
2452998.812 18.719 0.042
2452999.816 18.702 0.037
2453000.829 18.581 0.035
2453002.828 18.757 0.043
2453003.817 18.642 0.036
2453004.821 18.760 0.048
2453007.828 18.386 0.037
2453009.822 18.641 0.047
2453013.828 18.497 0.039
2453014.858 18.716 0.058
2453015.821 18.645 0.042
2453016.829 18.698 0.045
2453017.777 18.791 0.045
2453018.782 18.491 0.036
2453021.797 18.514 0.048
2453023.763 18.481 0.035
2453024.789 18.559 0.036
2453026.709 18.652 0.037
2453028.734 18.582 0.033
2453029.769 18.674 0.045
2453030.789 18.504 0.030
2453031.753 18.606 0.039
2453032.710 18.817 0.046
2453033.773 18.673 0.036
2453035.774 18.657 0.043
2453036.783 18.603 0.035
2453037.747 18.454 0.038
2453038.718 18.569 0.044
2453039.728 18.658 0.053
2453041.817 19.067 0.094
2453043.718 18.966 0.100
2453044.758 18.479 0.046
2453045.804 18.658 0.059
2453047.810 18.556 0.041
2453050.701 18.803 0.046
2453052.774 18.629 0.036
2453055.656 18.951 0.056
2453057.771 18.753 0.044
2453058.675 18.668 0.041
2453059.668 18.745 0.042
2453060.673 18.877 0.048
2453061.648 18.597 0.038
2453062.696 18.492 0.074
2453063.680 18.780 0.044
2453067.703 18.668 0.046
2453069.668 18.638 0.046
2453071.654 18.615 0.051
2453074.642 18.571 0.051
2453075.580 18.799 0.056
2453078.590 18.412 0.032
2453080.651 18.592 0.039
2453087.645 18.603 0.036
2453090.641 18.608 0.041
2453486.547 18.450 0.077
2453491.563 18.445 0.043
2453502.519 18.747 0.070
2453504.585 18.309 0.053
2453520.572 18.608 0.049
2453523.516 18.697 0.061
2453526.518 18.375 0.088
2453529.472 18.484 0.054
2453562.496 18.332 0.039
2453576.519 18.642 0.062
2453745.800 18.738 0.057
2453746.803 18.660 0.045
2453747.801 18.634 0.058
2453748.752 18.738 0.075
2453749.709 18.598 0.070
2453750.796 18.857 0.090
2453752.835 18.616 0.066
2453753.715 18.894 0.074
2453754.789 18.661 0.068
2453755.754 18.520 0.054
2453756.763 18.633 0.071
2453757.804 18.977 0.068
2453758.715 18.761 0.077
2453759.710 18.757 0.059
2453760.771 18.750 0.067
2453761.785 18.781 0.046
2453762.789 18.786 0.061
2453763.674 18.695 0.057
2453764.784 18.399 0.045
2453765.776 18.669 0.051
2453766.639 18.687 0.060
2453767.718 18.865 0.069
2453770.783 18.759 0.071
2453771.685 18.550 0.053
2453772.780 18.803 0.061
2453773.718 18.631 0.050
2453774.767 18.429 0.038
2453775.668 18.450 0.051
2453776.654 18.809 0.074
