juliandate NMcal merr1
2452974.806 20.311 0.053
2452975.799 20.284 0.053
2452980.803 21.011 0.228
2452981.838 20.034 0.112
2452982.852 20.962 0.294
2452984.791 20.490 0.123
2452986.806 20.351 0.104
2452987.801 20.497 0.122
2452988.794 20.550 0.108
2452989.823 20.306 0.083
2452990.822 20.589 0.096
2452991.824 20.466 0.086
2452992.833 20.161 0.060
2452993.846 19.990 0.065
2452994.815 20.416 0.067
2452995.824 20.003 0.051
2452996.809 20.113 0.054
2452997.842 20.108 0.066
2452998.824 20.118 0.044
2452999.827 20.340 0.054
2453002.839 20.281 0.058
2453003.828 20.334 0.064
2453004.832 20.275 0.055
2453007.839 20.112 0.057
2453009.833 20.273 0.074
2453013.839 20.494 0.139
2453015.832 20.417 0.102
2453016.840 20.440 0.091
2453017.788 20.213 0.072
2453018.794 20.405 0.098
2453021.809 19.946 0.062
2453022.825 20.309 0.059
2453023.774 19.913 0.040
2453024.800 20.151 0.047
2453026.720 20.405 0.053
2453028.746 20.426 0.062
2453029.781 19.900 0.039
2453030.801 20.304 0.052
2453031.764 20.132 0.046
2453032.721 20.519 0.068
2453033.785 20.308 0.053
2453035.785 20.497 0.060
2453036.794 20.371 0.066
2453037.758 20.393 0.081
2453038.729 20.374 0.106
2453039.739 20.457 0.120
2453041.828 20.225 0.142
2453043.729 20.691 0.220
2453044.769 20.748 0.170
2453045.815 20.225 0.116
2453047.821 20.715 0.111
2453050.712 20.377 0.052
2453052.786 20.240 0.052
2453055.668 20.413 0.061
2453057.782 20.296 0.057
2453058.686 20.317 0.056
2453059.679 20.439 0.058
2453060.684 20.278 0.052
2453061.659 20.066 0.050
2453062.708 20.342 0.094
2453063.691 20.354 0.056
2453067.714 20.489 0.104
2453069.679 20.816 0.196
2453071.665 20.823 0.238
2453074.653 20.305 0.117
2453075.592 20.451 0.114
2453078.601 20.222 0.051
2453080.662 20.232 0.056
2453087.656 20.291 0.052
2453090.652 20.322 0.062
2453103.694 20.759 0.181
2453107.591 20.462 0.066
2453111.536 20.139 0.062
2453113.611 20.399 0.069
2453116.599 20.042 0.052
2453126.478 20.687 0.138
2453127.510 20.861 0.183
2453130.570 21.081 0.333
2453136.454 20.190 0.107
2453140.546 20.159 0.049
2453143.596 20.366 0.131
2453146.512 20.099 0.052
2453152.509 21.139 0.327
2453158.461 20.120 0.126
2453159.527 20.540 0.204
2453160.460 20.199 0.106
2453162.487 20.152 0.048
2453165.484 20.310 0.062
2453169.532 20.170 0.048
2453175.488 20.335 0.052
2453178.469 20.100 0.066
2453180.479 20.370 0.069
2453184.466 20.458 0.121
2453187.470 20.608 0.194
2453190.465 20.641 0.098
2453193.488 20.391 0.110
2453194.469 19.990 0.050
2453196.515 20.101 0.048
2453201.527 20.147 0.083
2453205.469 19.989 0.050
2453332.812 20.159 0.077
2453345.783 20.046 0.067
2453347.780 19.977 0.059
2453349.810 20.213 0.133
2453351.816 20.119 0.086
2453353.809 20.096 0.078
2453355.781 20.173 0.064
2453357.761 20.024 0.058
2453359.758 19.977 0.049
2453372.779 20.531 0.120
2453374.700 19.817 0.062
2453377.764 20.127 0.066
2453379.781 20.100 0.057
2453381.738 20.130 0.060
2453383.704 20.195 0.066
2453385.702 20.223 0.075
2453393.795 19.845 0.077
2453396.688 20.746 0.228
2453397.685 20.240 0.139
2453398.681 20.238 0.116
2453405.735 20.029 0.047
2453407.752 20.263 0.074
2453409.770 20.487 0.076
2453411.806 19.766 0.040
2453412.742 20.199 0.071
2453414.788 19.642 0.040
2453415.830 19.792 0.044
2453420.786 19.872 0.046
2453421.837 19.643 0.043
2453426.739 20.323 0.153
2453427.766 20.048 0.113
2453430.729 20.249 0.119
2453433.752 20.207 0.078
2453435.769 20.239 0.070
2453438.730 19.739 0.055
2453442.727 19.933 0.054
2453445.762 20.134 0.056
2453448.665 20.488 0.133
2453453.680 20.528 0.177
2453459.676 20.163 0.120
2453460.621 20.110 0.106
2453461.693 20.573 0.143
2453464.582 20.087 0.060
2453467.608 19.752 0.040
2453470.693 20.296 0.069
2453473.640 20.025 0.062
2453476.662 20.110 0.059
2453478.580 20.142 0.081
2453491.574 20.094 0.058
2453499.590 20.241 0.095
2453504.596 19.735 0.046
2453520.583 20.088 0.056
2453523.528 20.049 0.061
2453529.483 20.064 0.074
2453562.507 20.067 0.060
2453576.530 19.976 0.062
2453745.812 20.540 0.085
2453746.814 20.133 0.057
2453747.812 20.617 0.114
2453748.763 20.981 0.286
2453750.807 20.472 0.184
2453752.846 20.743 0.201
2453753.726 20.809 0.200
2453754.800 20.367 0.120
2453755.765 20.561 0.140
2453756.774 20.236 0.110
2453757.815 20.991 0.206
2453758.726 20.443 0.127
2453759.721 20.207 0.069
2453760.782 20.498 0.083
2453761.796 20.169 0.060
2453762.800 20.144 0.065
2453763.686 20.289 0.069
2453764.795 20.117 0.062
2453765.787 20.665 0.100
2453766.651 20.382 0.082
2453767.730 20.277 0.078
2453770.794 20.816 0.225
2453771.696 20.126 0.061
2453772.791 20.274 0.060
2453773.729 20.233 0.064
2453774.778 20.317 0.067
2453775.679 20.633 0.153
2453776.666 20.226 0.125
2453777.700 21.064 0.255
2453783.715 20.247 0.116
2453784.735 20.656 0.167
2453785.769 20.611 0.151
2453786.719 20.975 0.175
2453787.726 20.540 0.102
2453788.732 20.569 0.113
2453789.724 20.409 0.081
2453790.738 20.613 0.108
2453791.679 20.567 0.103
2453792.793 20.206 0.078
2453797.777 20.471 0.084
2453798.784 20.232 0.066
2453799.712 20.422 0.077
2453800.699 20.818 0.090
2453801.714 20.551 0.087
2453802.675 20.490 0.094
2453803.650 20.800 0.167
2453804.694 20.718 0.161
2453813.690 20.698 0.175
2453815.727 20.718 0.148
2453817.699 20.593 0.109
2453819.617 20.703 0.096
2453821.636 20.418 0.095
2453823.671 20.400 0.085
2453829.608 20.736 0.119
2453830.608 20.719 0.136
2453832.653 20.766 0.174
2453833.648 20.358 0.109
2453843.656 20.237 0.122
2453845.616 20.527 0.088
2453846.604 20.638 0.117
2453847.581 20.230 0.072
2453848.587 20.609 0.095
2453849.551 20.603 0.102
2453851.564 20.315 0.090
2453852.622 20.289 0.086
2453853.649 20.013 0.054
2453856.671 20.357 0.082
2453861.595 20.832 0.201
2453862.590 20.820 0.173
2453863.496 20.562 0.177
2453863.526 21.047 0.298
2453863.548 nan nan
2453863.578 20.360 0.123
2453863.610 20.534 0.133
2453863.660 20.540 0.139
2453863.699 21.351 0.291
2453864.595 20.781 0.196
2453865.537 20.804 0.222
2453866.545 21.361 0.420
2454198.698 20.430 0.126
2454200.656 20.159 0.100
2454202.670 20.062 0.076
2454203.622 20.543 0.079
2454205.688 19.900 0.048
2454208.698 20.033 0.053
2454209.681 20.192 0.111
2454210.685 19.945 0.060
2454212.715 19.790 0.051
2454215.667 20.031 0.076
2454216.567 20.224 0.103
2454217.600 20.279 0.105
2454218.572 20.477 0.140
2454219.602 20.099 0.130
2454220.622 20.350 0.161
2454230.601 20.088 0.056
2454231.615 19.674 0.069
2454235.683 19.927 0.045
2454237.578 20.176 0.060
2454238.612 19.828 0.049
2454239.594 19.827 0.046
2454240.627 19.894 0.048
2454241.521 19.867 0.053
2454242.557 20.030 0.063
2454243.606 20.159 0.070
2454244.575 19.771 0.059
2454246.536 20.208 0.091
2454247.563 20.004 0.101
2454254.600 20.231 0.143
2454255.538 20.029 0.101
2454256.517 19.912 0.063
2454257.502 19.971 0.067
2454258.530 19.960 0.060
2454261.533 20.328 0.097
2454268.583 20.344 0.123
2454274.502 20.615 0.128
2454275.472 20.214 0.102
2454277.512 21.401 0.496
2454278.542 20.026 0.117
2454499.817 20.150 0.049
2454500.773 20.340 0.055
2454502.795 20.163 0.045
2454507.781 20.475 0.064
2454509.694 20.345 0.047
2454511.716 20.465 0.060
2454519.805 20.145 0.104
2454521.780 20.478 0.114
2454524.758 20.409 0.084
2454527.722 20.088 0.060
2454536.701 19.982 0.056
2454542.644 19.921 0.065
2454551.745 20.006 0.095
2454554.698 20.160 0.068
2454555.703 20.207 0.060
2454557.731 20.254 0.049
2454559.731 20.006 0.047
2454559.764 20.151 0.058
2454560.754 20.071 0.058
2454565.673 20.250 0.058
2454567.705 20.189 0.048
2454569.685 20.177 0.050
2454572.663 20.743 0.208
2454574.647 20.246 0.109
2454576.735 21.156 0.336
2454579.669 20.323 0.140
2454580.617 20.190 0.092
2454582.617 20.136 0.071
2454584.612 19.995 0.081
2454587.618 20.047 0.052
2454591.555 20.131 0.051
2454593.609 20.087 0.051
2454594.596 19.909 0.040
2454595.554 20.187 0.050
2454597.582 19.883 0.050
2454598.542 20.210 0.068
2454599.579 20.122 0.071
2454601.570 20.698 0.139
2454602.591 20.352 0.120
2454608.557 20.312 0.110
2454611.584 20.119 0.064
2454612.589 20.243 0.106
2454624.572 20.166 0.052
2454627.555 20.558 0.095
2454629.515 20.672 0.117
2454630.535 20.716 0.227
2454633.494 20.465 0.147
2454640.587 20.445 0.105
2454643.580 20.151 0.053
2454649.486 20.101 0.068
2454650.474 20.046 0.051
2454652.508 20.171 0.054
2454661.499 20.727 0.155
2454666.514 20.414 0.175
2454683.478 20.019 0.055
2454686.485 20.065 0.058
2454800.807 20.116 0.048
2454806.794 20.057 0.046
2454809.778 19.974 0.042
2454815.803 20.536 0.140
2454818.794 20.842 0.127
2454821.802 20.133 0.048
2454825.769 19.887 0.035
2454828.815 19.904 0.044
2454837.790 19.949 0.044
2454840.758 20.327 0.134
2454844.686 20.547 0.146
2454847.700 20.489 0.088
2454851.790 20.658 0.102
2454855.851 20.203 0.057
2454859.752 20.250 0.053
2454863.760 20.564 0.076
2454867.734 20.400 0.046
2454871.729 20.695 0.182
2454875.722 20.723 0.165
2454879.683 20.504 0.086
2454882.768 20.598 0.079
2454885.736 20.242 0.051
2454888.673 20.293 0.057
2454891.767 20.267 0.050
2454900.707 20.435 0.154
2454903.712 20.837 0.223
2454906.717 20.685 0.140
2454909.688 20.205 0.055
2454912.719 20.219 0.046
2454915.737 20.244 0.066
2454918.682 20.524 0.080
2454921.734 20.310 0.056
2454924.648 20.400 0.079
2454927.642 20.394 0.113
2454929.671 20.521 0.177
2454932.649 20.778 0.244
2454935.655 20.265 0.098
2454938.678 20.037 0.068
2454940.617 19.869 0.055
2454942.636 20.076 0.050
2454945.608 20.220 0.053
2454946.516 20.195 0.053
2454946.568 20.160 0.045
2454946.623 20.038 0.045
2454946.694 19.874 0.039
2454946.748 20.218 0.059
2454951.680 20.155 0.051
2454954.605 20.196 0.073
2454956.557 20.023 0.085
2454959.609 20.556 0.213
2454962.559 20.520 0.138
2454965.624 20.215 0.077
2454967.551 20.244 0.052
2454968.583 20.078 0.062
2454970.577 20.115 0.053
2454973.581 20.156 0.050
2454975.529 20.076 0.049
2454987.515 19.791 0.091
2454988.547 20.302 0.143
2454990.546 19.840 0.099
2454993.566 20.037 0.073
2454995.578 19.847 0.038
2454996.501 19.953 0.053
2455652.732 19.862 0.054
2455654.662 20.070 0.062
2455659.651 19.673 0.037
2455673.614 19.903 0.071
2455676.561 20.106 0.061
2455692.576 19.844 0.057
2455701.520 20.007 0.078
2455706.529 19.850 0.051
2455715.637 19.977 0.057
2455738.513 19.702 0.049
2455741.497 19.902 0.052
2455762.501 19.766 0.054
2455765.470 19.958 0.063
2455767.484 19.728 0.049
2456038.605 19.718 0.043
2456041.608 19.739 0.049
2456048.577 19.893 0.085
2456051.560 20.366 0.242
2456054.554 20.742 0.579
2456057.509 19.945 0.054
2456060.546 19.635 0.046
2456061.532 19.747 0.045
2456064.551 19.971 0.067
2456070.599 19.613 0.042
2456078.518 19.789 0.075
2456080.512 19.914 0.109
2456083.534 19.694 0.107
2456092.502 19.634 0.038
2456094.471 19.952 0.057
2456100.498 19.735 0.041
2456103.474 19.812 0.052
2456115.532 19.821 0.046
2456118.462 19.765 0.046
2456121.556 19.854 0.049
2456124.546 19.687 0.044
2456130.515 19.644 0.054
2456283.814 20.237 0.070
2456285.795 20.184 0.064
2456291.790 20.727 0.241
2456294.764 20.978 0.212
2456298.843 20.553 0.109
2456301.823 19.894 0.050
2456306.768 20.313 0.081
2456309.785 19.951 0.080
2456312.840 19.926 0.134
2456315.801 19.934 0.054
2456318.751 20.220 0.150
2456321.753 19.994 0.127
2456333.683 19.824 0.053
2456336.733 20.334 0.072
2456339.767 19.703 0.043
2456343.748 19.780 0.054
2456350.716 20.607 0.239
2456353.762 19.676 0.083
2456357.664 19.893 0.052
2456363.683 20.031 0.060
2456367.735 19.875 0.050
2456370.640 19.906 0.053
2456374.659 20.194 0.121
2456377.731 20.135 0.162
2456380.652 21.402 0.503
2456385.656 20.288 0.081
2456393.743 19.744 0.052
2456396.602 19.857 0.054
2456399.596 20.101 0.075
2456418.691 19.843 0.058
2456422.593 20.067 0.065
2456428.536 20.066 0.063
2456433.522 20.233 0.132
2456436.644 20.724 0.334
2456442.533 20.072 0.063
2456446.563 20.051 0.054
2456448.566 20.380 0.086
2456452.550 20.071 0.054
2456455.538 20.189 0.060
2456458.524 20.769 0.159
2456473.536 20.083 0.063
2456476.491 20.355 0.091
2456486.558 19.980 0.074
2456489.554 20.108 0.113
2456610.835 20.222 0.108
2456618.823 20.226 0.143
2456621.843 19.908 0.140
2456632.822 20.277 0.085
2456641.840 19.764 0.077
2456645.808 20.153 0.148
2456648.828 20.311 0.129
