,airmass,date,fname,juliandate,mag1,mag10,mag11,mag12,mag13,mag14,mag15,mag16,mag17,mag18,mag19,mag2,mag20,mag3,mag4,mag5,mag6,mag7,mag8,mag9,merr1,merr10,merr11,merr12,merr13,merr14,merr15,merr16,merr17,merr18,merr19,merr2,merr20,merr3,merr4,merr5,merr6,merr7,merr8,merr9
0,1.6899999999999999,31130,rccd031130.0111_gregist,2452974.79536,22.085,,,,,,,,20.334,20.803,19.3,,20.244,18.785,19.297,21.065,,,,18.998,0.04,,,,,,,,0.006,0.009,0.002,,0.005,0.001,0.002,0.011,,,,0.002
1,1.72,31201,rccd031201.0082_gregist,2452975.78745,22.128,,,,,,,,20.323,20.815,19.28,,20.276,18.77,19.276,21.159,,,18.924,18.98,0.04,,,,,,,,0.005,0.009,0.002,,0.005,0.001,0.002,0.011,,,0.002,0.002
2,1.6200000000000001,31206,rccd031206.0086_gregist,2452980.79214,22.651,,,,,,,,20.328,20.791,19.318,,20.299,18.793,19.299,21.221,,,18.953,19.011,0.078,,,,,,,,0.008,0.012,0.003,,0.008,0.002,0.003,0.017,,,0.002,0.003
3,1.48,31207,rccd031207.0041_gregist,2452981.82716,22.144,18.211,,,17.537,17.824,18.632,18.123,20.401,20.955,19.333,,20.329,18.85,19.359,21.271,17.693,18.267,19.009,19.057,0.066,0.001,,,0.001,0.001,0.002,0.002,0.01,0.015,0.003,,0.009,0.002,0.004,0.019,0.001,0.001,0.003,0.003
4,1.4299999999999999,31208,rccd031208.0095_gregist,2452982.84130,22.366,,,,,,18.634,,20.354,20.87,19.369,,20.36,18.839,19.345,21.272,,18.27,19.008,19.059,0.088,,,,,,0.002,,0.009,0.013,0.003,,0.008,0.002,0.003,0.018,,0.001,0.003,0.003
5,1.6299999999999999,31210,rccd031210.0074_gregist,2452984.78032,22.125,,,,,,18.572,,20.313,20.819,19.311,,20.279,18.795,19.296,21.215,,,18.945,19.01,0.047,,,,,,0.002,,0.007,0.011,0.003,,0.007,0.002,0.003,0.015,,,0.002,0.002
6,1.55,31212,rccd031212.0087_gregist,2452986.79446,22.252,,,,,,18.577,,20.362,20.865,19.308,,20.301,18.797,19.307,21.203,,,18.952,19.009,0.053,,,,,,0.002,,0.007,0.011,0.003,,0.006,0.002,0.003,0.013,,,0.002,0.002
7,1.55,31213,rccd031213.0106_gregist,2452987.78990,22.434,18.189,,,,,18.606,18.096,20.386,20.873,19.337,,20.33,18.823,19.337,21.234,,18.245,18.978,19.035,0.062,0.001,,,,,0.002,0.001,0.007,0.009,0.002,,0.007,0.002,0.003,0.013,,0.001,0.002,0.002
8,1.5700000000000001,31214,rccd031214.0068_gregist,2452988.78239,22.135,,,,,,18.581,,20.339,20.834,19.311,,20.316,18.804,19.309,21.189,,,18.957,19.021,0.041,,,,,,0.002,,0.007,0.009,0.002,,0.006,0.002,0.003,0.013,,,0.002,0.002
9,1.46,31215,rccd031215.0081_gregist,2452989.81180,22.158,18.153,,,,,18.562,18.054,20.355,20.835,19.303,,20.291,18.781,19.281,21.157,,18.204,18.94,19.001,0.05,0.001,,,,,0.002,0.001,0.007,0.01,0.002,,0.006,0.002,0.003,0.012,,0.001,0.002,0.002
