,airmass,date,fname,juliandate,mag1,mag10,mag11,mag12,mag13,mag14,mag15,mag16,mag17,mag18,mag19,mag2,mag20,mag3,mag4,mag5,mag6,mag7,mag8,mag9,merr1,merr10,merr11,merr12,merr13,merr14,merr15,merr16,merr17,merr18,merr19,merr2,merr20,merr3,merr4,merr5,merr6,merr7,merr8,merr9
0,1.63,31130,rccd031130.0112_gregist,2452974.80649,22.973,18.617,,,,,,,20.544,21.241,19.521,,20.848,19.387,19.834,21.408,,,19.09,19.153,0.053,0.001,,,,,,,0.005,0.008,0.002,,0.005,0.002,0.002,0.009,,,0.002,0.002
1,1.66,31201,rccd031201.0083_gregist,2452975.79859,22.928,18.607,,,,18.295,18.703,18.556,20.53,21.256,19.509,,20.8,19.373,19.826,21.508,,18.582,19.076,19.13,0.053,0.001,,,,0.001,0.001,0.001,0.004,0.008,0.002,,0.005,0.002,0.002,0.009,,0.001,0.001,0.001
2,1.58,31206,rccd031206.0087_gregist,2452980.80327,23.672,18.617,,,,18.316,18.704,18.569,20.549,21.264,19.509,,20.865,19.365,19.84,21.485,,18.596,19.08,19.15,0.228,0.002,,,,0.002,0.002,0.002,0.011,0.02,0.004,,0.015,0.004,0.005,0.022,,0.002,0.003,0.003
3,1.44,31207,rccd031207.0042_gregist,2452981.83829,22.737,18.667,,,17.507,18.394,18.744,18.606,20.605,21.373,19.558,17.322,20.867,19.426,19.873,21.439,17.813,18.646,19.132,19.192,0.112,0.002,,,0.001,0.002,0.003,0.002,0.012,0.021,0.005,0.001,0.016,0.005,0.006,0.024,0.001,0.002,0.003,0.004
4,1.4,31208,rccd031208.0096_gregist,2452982.85243,23.581,18.578,,,,18.288,18.678,18.53,20.486,21.192,19.472,,20.821,19.35,19.795,21.409,,18.554,19.064,19.104,0.294,0.003,,,,0.003,0.003,0.003,0.016,0.032,0.006,,0.023,0.005,0.008,0.035,,0.003,0.004,0.005
5,1.58,31210,rccd031210.0075_gregist,2452984.79145,23.145,18.608,,,,18.304,18.718,18.553,20.535,21.283,19.499,,20.858,19.371,19.841,21.443,,18.593,19.079,19.144,0.123,0.002,,,,0.002,0.002,0.002,0.01,0.019,0.004,,0.014,0.003,0.005,0.021,,0.002,0.003,0.003
6,1.5,31212,rccd031212.0088_gregist,2452986.80559,23.003,18.613,,,,18.3,18.717,18.565,20.551,21.311,19.516,,20.831,19.376,19.831,21.489,,18.593,19.065,19.114,0.104,0.001,,,,0.001,0.002,0.002,0.009,0.017,0.003,,0.011,0.003,0.004,0.018,,0.001,0.003,0.003
7,1.51,31213,rccd031213.0107_gregist,2452987.80103,23.175,18.641,,,17.483,18.345,18.737,18.585,20.534,21.273,19.54,,20.881,19.4,19.846,21.555,,18.617,19.111,19.171,0.122,0.001,,,0.001,0.002,0.002,0.002,0.008,0.015,0.003,,0.011,0.003,0.004,0.019,,0.001,0.002,0.003
8,1.53,31214,rccd031214.0069_gregist,2452988.79352,23.221,18.637,,,,18.318,18.729,18.581,20.548,21.294,19.529,,20.864,19.389,19.843,21.503,,18.61,19.095,19.157,0.108,0.001,,,,0.001,0.002,0.002,0.007,0.013,0.003,,0.009,0.002,0.004,0.015,,0.001,0.002,0.002
9,1.43,31215,rccd031215.0082_gregist,2452989.82293,22.955,18.61,,,,18.305,18.707,18.554,20.544,21.23,19.496,,20.844,19.371,19.811,21.509,17.749,18.579,19.076,19.136,0.083,0.001,,,,0.001,0.001,0.001,0.007,0.012,0.002,,0.007,0.002,0.003,0.014,0.001,0.001,0.002,0.002
