,b,cb,ci,cr,cv,date,i,r,star,v,xb,xi,xr,xv
0,2.167,2.193,3.631,2.865,2.65,80713,3.644,2.868,pg1657,2.641,-0.12,-0.066,-0.06,0.007
1,2.209,2.271,3.652,2.963,2.774,80714,3.644,2.947,pg1657,2.687,-0.151,-0.059,-0.319,-0.167
2,2.138,2.173,3.627,2.888,2.675,80715,3.622,2.898,pg1657,2.674,-0.153,-0.08,-0.022,-0.01
3,2.488,2.495,3.826,3.056,2.909,60109,3.791,3.063,RU149,2.91,-0.072,0.144,-0.016,0.03
4,3.091,3.09,4.601,3.409,3.592,60110,4.58,3.417,RU149,3.587,-0.102,0.117,-0.017,0.016
5,2.438,2.442,3.827,3.041,2.862,60111,3.786,3.046,RU149,2.862,-0.088,0.102,-0.006,0.015
6,2.434,2.446,3.803,3.047,2.878,60112,3.784,3.051,RU149,2.888,-0.05,0.084,-0.028,0.047
7,2.485,2.476,3.836,3.082,2.899,60113,3.798,3.08,RU149,2.897,-0.071,0.083,0.054,0.031
8,2.487,2.48,3.834,3.063,2.891,60114,3.812,3.072,RU149,2.898,-0.101,0.073,0.02,0.038
9,2.438,2.456,3.794,3.039,2.856,60115,3.798,3.032,RU149,2.856,-0.142,0.005,-0.054,0.015
10,2.483,2.485,3.842,3.087,2.916,60116,3.824,3.083,RU149,2.921,-0.095,0.026,0.013,0.012
11,2.498,2.509,3.883,3.111,2.925,60117,3.867,3.121,RU149,2.928,-0.071,0.016,0.007,0.016
12,2.532,2.529,3.886,3.107,2.934,60118,3.842,3.112,RU149,2.936,-0.074,0.094,0.009,0.041
13,2.727,,,,,60121,4.154,3.215,RU149,3.246,,,,
14,2.557,2.561,3.899,3.123,2.965,60122,3.877,3.128,RU149,2.967,-0.079,0.085,0.002,0.03
15,2.464,2.481,3.824,3.066,2.898,60123,3.805,3.061,RU149,2.899,-0.101,0.084,-0.023,0.02
16,2.455,2.455,3.81,3.033,2.872,60124,3.781,3.049,RU149,2.874,-0.085,0.075,-0.015,0.038
17,2.494,2.497,3.852,3.071,2.91,60125,3.829,3.073,RU149,2.908,-0.097,0.072,-0.004,0.03
18,2.505,2.503,3.858,3.086,2.919,60126,3.833,3.088,RU149,2.918,-0.066,0.054,0.002,0.05
19,2.554,2.558,3.766,3.107,2.958,60129,3.847,3.107,RU149,2.961,-0.079,-0.05,0.008,0.029
20,2.512,2.514,3.879,3.11,2.934,60130,3.858,3.096,RU149,2.936,-0.054,0.054,0.036,0.052
21,2.455,2.453,3.815,3.054,2.871,60204,3.783,3.051,RU149,2.878,-0.078,0.081,-0.032,0.061
22,2.493,2.498,3.855,3.079,2.885,60205,3.833,3.075,RU149,2.922,-0.083,0.1,0.023,-0.013
23,2.509,2.512,3.851,3.091,2.933,60206,3.813,3.104,RU149,2.924,-0.092,0.089,-0.028,-0.006
24,2.483,2.482,3.816,3.067,2.886,60208,3.793,3.07,RU149,2.885,-0.081,0.066,-0.012,0.029
25,2.49,2.501,3.83,3.062,2.913,60209,3.825,3.068,RU149,2.918,-0.081,0.03,-0.045,0.008
26,2.519,2.521,3.882,3.088,2.922,60210,3.842,3.097,RU149,2.923,-0.064,0.097,0.022,-0.013
27,2.508,2.511,3.872,3.087,2.935,60211,3.836,3.094,RU149,2.932,-0.061,0.112,0.016,0.016
28,2.622,2.623,3.954,3.162,2.996,60215,3.937,3.161,RU149,3.001,-0.077,0.112,0.039,0.024
29,2.534,2.538,3.888,3.106,2.947,60218,3.86,3.11,RU149,2.946,-0.086,0.067,-0.012,0.011
30,2.48,2.483,3.833,3.073,2.919,60219,3.815,3.077,RU149,2.921,-0.069,0.071,-0.013,0.014
31,2.449,2.456,3.826,3.046,2.884,60220,3.784,3.051,RU149,2.88,-0.088,0.092,-0.012,0.008
32,2.458,2.495,3.828,3.05,2.896,60302,3.813,3.057,PG1047,2.907,-0.114,0.043,-0.053,-0.023
33,2.459,2.494,3.828,3.054,2.892,60303,3.821,3.068,PG1047,2.896,-0.158,0.016,-0.031,-0.006
34,2.489,2.52,3.845,3.066,2.93,60304,3.847,3.074,PG1047,2.931,-0.146,-0.002,-0.061,-0.022
35,2.454,2.492,3.787,3.049,2.903,60305,3.81,3.058,PG1047,2.901,-0.122,-0.023,-0.052,-0.021
36,2.455,2.502,3.815,3.046,2.907,60306,3.805,3.059,PG1047,2.911,-0.134,0.029,-0.072,-0.007
37,2.463,2.51,3.841,3.051,2.923,60307,3.84,3.069,PG1047,2.916,-0.13,0.014,-0.095,-0.049
38,2.453,2.496,3.82,3.046,2.903,60309,3.813,3.059,PG1047,2.906,-0.143,0.007,-0.071,-0.015
39,2.478,2.524,3.837,3.092,2.936,60310,3.856,3.095,PG1047,2.938,-0.13,-0.017,-0.066,-0.023
40,2.474,2.483,3.849,3.064,2.936,60311,3.845,3.094,PG1047,2.928,-0.144,0.057,-0.051,-0.026
41,2.507,2.524,3.919,3.081,2.956,60312,3.906,3.127,PG1047,2.964,-0.229,0.134,-0.058,-0.012
42,2.538,2.548,3.847,3.101,2.926,60313,3.781,3.115,PG1047,2.916,-0.08,0.073,-0.033,-0.163
43,2.508,2.519,3.864,3.083,2.951,60314,3.875,3.098,PG1047,2.931,-0.119,-0.01,-0.011,-0.079
44,2.498,2.531,3.848,3.064,2.904,60315,3.831,3.068,PG1047,2.912,-0.118,0.03,-0.003,0.041
45,2.488,2.515,3.856,3.085,2.941,60316,3.849,3.092,PG1047,2.941,-0.102,0.048,-0.057,0.007
46,2.464,2.501,3.827,3.075,2.915,60317,3.855,3.085,PG1047,2.909,-0.125,-0.024,-0.043,-0.023
47,2.472,2.5,3.848,3.08,2.91,60318,3.842,3.091,PG1047,2.917,-0.132,0.015,-0.05,-0.018
48,2.484,2.519,3.85,3.077,2.933,60319,3.846,3.092,PG1047,2.93,-0.129,0.005,-0.085,-0.035
49,2.475,2.502,3.85,3.079,2.932,60320,3.847,3.083,PG1047,2.932,-0.128,0.048,-0.042,-0.044
50,2.502,2.537,3.858,3.082,2.944,60321,3.858,3.086,PG1047,2.945,-0.133,0.0,-0.062,-0.015
51,2.517,2.54,3.879,3.099,2.963,60322,3.87,3.105,PG1047,2.964,-0.131,0.024,-0.049,-0.025
52,2.497,2.537,3.861,3.1,2.958,60323,3.857,3.107,PG1047,2.958,-0.129,0.035,-0.052,-0.032
53,2.477,2.52,3.85,3.076,2.942,60324,3.838,3.1,PG1047,2.943,-0.123,0.01,-0.053,-0.002
54,2.477,2.505,3.82,3.005,2.911,60325,3.814,3.045,PG1047,2.914,-0.103,0.006,-0.102,-0.008
55,2.467,2.504,3.848,3.081,2.933,60326,3.841,3.086,PG1047,2.932,-0.106,0.038,-0.022,-0.027
56,2.47,2.514,3.853,3.082,2.929,60327,3.853,3.087,PG1047,2.927,-0.165,0.0,-0.068,-0.027
57,2.494,2.0,3.87,3.102,2.938,60328,3.859,3.11,PG1047,2.93,-0.111,0.039,-0.042,-0.033
58,2.494,2.524,3.856,3.074,2.951,60407,3.844,3.103,PG1047,2.95,-0.144,0.017,-0.071,-0.01
59,2.449,2.493,3.829,3.063,2.895,60408,3.824,3.069,PG1047,2.9,-0.112,0.014,-0.033,-0.03
60,2.536,2.558,3.896,3.088,2.979,60409,3.853,3.132,PG1047,2.985,-0.14,0.179,-0.073,-0.016
61,2.528,2.531,3.853,3.109,2.956,60410,3.906,3.132,PG1047,2.941,-0.165,-0.072,-0.046,-0.041
62,2.525,2.542,3.804,3.068,2.982,60411,3.902,3.145,PG1047,2.98,-0.104,-0.096,-0.084,0.004
63,2.556,2.603,3.909,3.147,3.007,60413,3.898,3.17,PG1047,3.018,-0.146,0.017,-0.043,-0.024
64,2.523,2.556,3.866,3.094,2.962,60415,3.864,3.104,PG1047,2.963,-0.142,-0.02,-0.069,-0.041
65,2.51,2.553,3.866,3.128,2.971,60416,3.869,3.132,PG1047,2.97,-0.133,-0.002,-0.037,-0.03
66,2.474,2.523,3.863,3.093,2.952,60417,3.85,3.111,PG1047,2.958,-0.143,0.03,-0.06,-0.037
67,2.508,2.544,3.889,3.102,2.958,60419,3.886,3.105,PG1047,2.955,-0.113,0.018,-0.056,0.015
68,2.483,2.523,3.857,3.089,2.944,60421,3.835,3.095,PG1047,2.949,-0.12,0.052,-0.071,-0.021
69,2.513,2.554,3.877,3.112,2.976,60423,3.877,3.122,PG1047,2.978,-0.142,0.033,-0.069,-0.027
70,2.562,2.593,3.888,3.128,3.007,60424,3.889,3.143,PG1047,3.009,-0.154,-0.005,-0.063,-0.016
71,2.703,2.695,4.013,3.287,3.107,61106,4.03,3.295,TPhe,3.124,-0.069,0.059,-0.013,0.033
72,2.672,2.677,4.024,3.267,3.11,61107,4.025,3.269,TPhe,3.126,-0.096,0.03,-0.005,0.03
73,2.659,2.671,3.993,3.281,3.095,61108,4.033,3.284,TPhe,3.118,-0.083,0.079,-0.012,0.034
74,2.644,2.671,3.965,3.247,3.092,61109,4.035,3.251,TPhe,3.122,-0.08,0.159,0.018,0.041
75,2.703,2.707,3.963,3.269,3.11,61110,4.046,3.259,TPhe,3.129,-0.083,0.164,0.003,0.026
76,2.681,2.694,4.02,3.267,3.103,61111,4.056,3.272,TPhe,3.135,-0.077,0.07,-0.012,0.039
