,date,star,b,v,r,i,cb,cv,cr,ci,xb,xv,xr,xi
0,120714,TPheD,1.9920799999999999,2.5403599999999997,2.82602,3.51764,2.056114,2.496649,2.819261,3.4371620000000003,-0.04506867,0.05606642,0.00578439,0.1629763
1,120715,TPheD,1.9884,2.5328,2.81585,3.5172,2.070503,2.5051200000000002,2.817271,3.464214,-0.06418674,0.03900529,-0.00450825,0.09101789
2,120716,TPheD,1.98184,2.53672,2.8172099999999998,3.5117199999999995,2.0575959999999998,2.50313,2.823397,3.451798,-0.05366725,0.04876812,0.00170841,0.1074258
3,120717,TPheD,1.9780799999999998,2.5308,2.81485,3.51864,2.069181,2.501327,2.819317,3.465218,-0.06150079,0.02892388,-0.00626359,0.07164393
4,120726,TPheD,2.01608,2.56192,2.85019,3.53764,2.0880959999999997,2.52667,2.842171,3.488662,-0.06227783,0.03575279,0.01812887,0.10983239999999998
5,120728,TPheD,1.9908,2.5321599999999997,2.82887,3.5224,2.066786,2.499255,2.8276060000000003,3.486267,-0.05959424,0.04229562,0.00267027,0.06534737
6,120729,TPheD,1.97944,2.5314799999999997,2.81336,3.51652,2.064912,2.499941,2.8269,3.4446589999999997,-0.0756169,0.04206655,-0.01030827,0.1171221
7,120810,TPheD,2.03272,2.56224,2.85868,3.55076,2.089823,2.530268,2.842798,3.484671,-0.04826567,0.0402124,0.01940676,0.07581239
8,120811,TPheD,2.03572,2.58524,2.86568,3.5647599999999997,2.0893080000000004,2.539644,2.866415,3.509603,-0.05086954,0.05089353,0.00777519,0.08380581
9,120824,TPheD,2.00544,2.56092,2.84936,3.5255199999999998,2.082431,2.529763,2.837342,3.488121,-0.05534047,0.0448191,0.00767226,0.0671931
10,120825,TPheD,2.03008,2.57836,2.85302,3.5236400000000003,2.095056,2.544062,2.8410759999999997,3.4807300000000003,-0.05696641,0.03791431,0.02761395,0.06105576
11,120826,TPheD,2.03572,2.57824,2.86668,3.5487599999999997,2.086864,2.527837,2.850709,3.493672,-0.05165029,0.05807532,0.00275202,0.080342
12,120827,TPheD,2.0464,2.5838,2.87485,3.5532,2.086623,2.5115380000000003,2.840826,3.491546,-0.03305795,0.06136499,0.02076103,0.06985949
13,120901,TPheD,2.0084,2.5558,2.83985,3.5382,2.105585,2.540059,2.8447430000000002,3.5095629999999995,-0.08239299,0.02968856,0.02204946,0.04804321
14,120906,TPheD,2.0134,2.56524,2.84068,3.55476,2.105836,2.552521,2.8550470000000003,3.540426,-0.06899973,0.02453586,-0.0077539,0.03975743
15,120909,TPheD,2.02572,2.5588,2.84468,3.53176,2.098348,2.536189,2.857004,3.502301,-0.05767129,0.03580516,-0.00736449,0.07694016
16,120910,TPheD,2.03372,2.5642400000000003,2.84768,3.54576,2.12717,2.5539509999999996,2.859353,3.505186,-0.06759329,0.02506924,4.7600000000000005e-05,0.06273463
17,120911,TPheD,2.00508,2.5568,2.83202,3.5236400000000003,2.089798,2.535466,2.8341830000000003,3.473526,-0.06550755,0.03433036,0.01648449,0.09206453
18,120912,TPheD,1.9484,2.5308,2.80785,3.5082,2.063323,2.499072,2.818139,3.4632339999999995,-0.08169369,0.04339205,-0.000333,0.06955779
19,120913,TPheD,1.99872,2.55024,2.80768,3.52576,2.08562,2.52231,2.823517,3.478962,-0.06743067,0.0369298,-0.01407745,0.07078654
20,120915,TPheD,2.02172,2.55424,2.83468,3.55076,2.1090150000000003,2.5218439999999998,2.8431130000000002,3.5156989999999997,-0.06785307,0.04653848,0.00697259,0.09475297
21,120922,TPheD,1.97776,2.5323599999999997,2.82202,3.50964,2.0627720000000003,2.509769,2.82131,3.4604690000000002,-0.07490057,0.03326604,0.00763443,0.05980781
22,120925,TPheD,2.00808,2.53736,2.79802,3.5116400000000003,2.087694,2.503833,2.817226,3.4754339999999995,-0.05950853,0.04895074,-0.01512504,0.05066512
23,120926,TPheD,1.9974,2.54324,2.82368,3.5122,2.089475,2.51648,2.8204569999999998,3.4853400000000003,-0.06253978,0.02417275,0.012031299999999998,0.05286955
24,120928,TPheD,2.0004,2.5163599999999997,2.85302,3.54564,2.098576,2.511527,2.851886,3.5024300000000004,-0.07218704,0.03326543,0.00340733,0.1010025
25,121002,TPheD,2.0047200000000003,2.56624,2.8376799999999998,3.53876,2.1066,2.534881,2.854537,3.4252010000000004,-0.08051945,0.03676237,-0.01350189,0.21290789999999998
26,121009,TPheD,2.0384,2.5788,2.86785,3.5532,2.09079,2.521576,2.8596220000000003,3.4888440000000003,-0.0440327,0.05847305,0.00852391,0.09494125
27,121010,TPheD,2.0407599999999997,2.58092,2.8521900000000002,3.5450800000000005,2.095973,2.538627,2.8383540000000003,3.5027209999999998,-0.04426898,0.04562063,0.01397607,0.07868510000000001
28,121011,TPheD,2.04008,2.57592,2.86002,3.55464,2.114268,2.53705,2.864557,3.496492,-0.05725591,0.04786041,0.01260198,0.10534110000000001
29,121017,TPheD,1.9817200000000001,2.5402400000000003,2.8216799999999997,3.5247599999999997,2.101687,2.531589,2.844866,3.4672980000000004,-0.09306874,0.02378307,-0.01033604,0.1009397
30,121020,TPheD,2.0150799999999998,2.56236,2.84202,3.54264,2.10427,2.528893,2.845617,3.475945,-0.0602817,0.0412568,0.00830234,0.1247445
31,121022,TPheD,2.0534,2.59024,2.86785,3.5482,2.109999,2.53602,2.85847,3.45696,-0.04576534,0.05084753,0.00327334,0.1303444
32,121025,TPheD,2.0657200000000002,2.6132400000000002,2.88468,3.57976,2.112141,2.5346290000000002,2.857477,3.4982919999999997,-0.05123454,0.06670229,0.03146236,0.1314826
33,121029,TPheD,2.02672,2.5762400000000003,2.86668,3.55976,2.124441,2.554391,2.8711599999999997,3.510586,-0.07651852,0.03176971,0.00115926,0.11237639999999999
34,121030,TPheD,2.03472,2.59524,2.86468,3.56776,2.110935,2.540435,2.850094,3.4868589999999995,-0.06816660000000001,0.05485795,0.05272302,0.13240760000000001
35,121031,TPheD,2.05372,2.6082400000000003,2.86768,3.55876,2.125082,2.569634,2.8703380000000003,3.5028410000000005,-0.07710548,0.04056278,-7.97e-05,0.07218555
36,121101,TPheD,2.03872,2.58224,2.86868,3.55476,2.1168400000000003,2.565096,2.874731,3.503836,-0.0691762,0.03092587,0.00045599999999999997,0.09535003
37,121102,TPheD,2.04108,2.58592,2.86702,3.5596400000000004,2.1233619999999997,2.5600400000000003,2.8817169999999996,3.501965,-0.06583843,0.04690761,-0.00892206,0.08888102
38,121103,TPheD,2.04872,2.5842400000000003,2.86968,3.5527599999999997,2.125212,2.5405849999999996,2.868923,3.5080839999999998,-0.06131692,0.04635549,0.00913863,0.07591179
39,121104,TPheD,2.0414,2.5778,2.85785,3.5542,2.125382,2.5557,2.873004,3.478534,-0.06411429,0.03989463,-0.00190271,0.09541125
40,121105,TPheD,2.03872,2.57824,2.86468,3.5447599999999997,2.11032,2.5421110000000002,2.8734580000000003,3.517817,-0.06282721,0.05150790000000001,0.0030131999999999997,0.04101567
41,121106,TPheD,2.04676,2.58392,2.8681900000000002,3.5530800000000005,2.115951,2.552441,2.867225,3.517311,-0.05479097,0.049227099999999996,0.00798317,0.08661569999999999
42,121108,TPheD,2.0567599999999997,2.70192,2.95019,3.5710800000000003,2.124896,2.6204099999999997,2.9048580000000004,3.477846,-0.06102996,0.07060378,0.05004081,0.1662223
43,121111,TPheD,2.0047200000000003,2.5842400000000003,2.86568,3.55376,2.1148849999999997,2.566506,2.880313,3.509803,-0.0849665,0.03144764,-0.00306397,0.06999499
44,121112,TPheD,2.02672,2.58624,2.87068,3.56776,2.126788,2.56405,2.8720369999999997,3.502043,-0.07706324,0.0302632,-0.00278957,0.10465239999999999
45,121113,TPheD,2.0414,2.5848,2.88285,3.5672,2.120087,2.555316,2.875165,3.5143809999999998,-0.05806858,0.03485753,0.01322388,0.1324668
46,121115,TPheD,2.0304,2.5868,2.86585,3.5612,2.090502,2.5480650000000002,2.866205,3.5143230000000005,-0.04736931,0.04266659,0.01232208,0.07146083
47,121116,TPheD,2.0604,2.60224,2.88268,3.56576,2.102576,2.549823,2.875901,3.5236330000000002,-0.02908598,0.05180956,0.01074497,0.04981076
48,121117,TPheD,2.0634,2.6018,2.87685,3.5642,2.1212590000000002,2.541411,2.865958,3.5278150000000004,-0.04737855,0.05734528,0.00946538,0.05655578
49,121118,TPheD,2.0657200000000002,2.6092400000000002,2.88768,3.56576,2.109917,2.555431,2.877789,3.508891,-0.03749137,0.06074364,0.00937282,0.09124877
50,121119,TPheD,2.0664,2.6098,2.88285,3.5662,2.044439,2.551755,2.87502,3.526625,-0.03851667,0.05908954,0.01520681,0.07541089
